Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp
shower pan,3,3,33100,77.34,1,https://bestbath.com/products/showers/pans/,2979,14.03,2979,1,165000000,"[67,67,67,82,82,67,82,67,67,100,82,82]",1562800468
best bath,1,1,3600,78.95,1.85,https://bestbath.com/,2880,13.56,5328,1,1280000000,"[100,82,82,82,82,82,82,82,82,100,100,100]",1562796435
shower base,5,5,22200,76.92,0.93,https://bestbath.com/products/showers/pans/,1110,5.22,1032,1,469000000,"[82,67,67,67,82,67,82,67,67,100,82,82]",1562805830
bathtub surround kits,1,1,1600,81.2,0.98,https://bestbath.com/products/tub-surrounds/,752,3.54,736,1,1220000,"[67,54,42,42,100,100,79,67,54,67,67,79]",1560963111
tub shower combo,5,5,14800,84.2,0.89,https://bestbath.com/products/tubs/shower-tub-combos/,740,3.48,658,1,56300000,"[67,55,67,82,82,82,82,82,67,100,100,100]",1562805217
handicap showers,3,3,5400,63.13,2,https://bestbath.com/products/showers/,486,2.28,972,1,83900000,"[82,67,67,67,82,67,67,67,67,100,82,82]",1562801752
tub surround,7,7,12100,83.42,0.99,https://bestbath.com/products/tub-surrounds/,484,2.28,479,1,45900000,"[82,67,67,67,67,67,67,67,67,100,82,100]",1562806450
handicap shower stalls,1,1,880,70.58,2.32,https://bestbath.com/products/showers/,413,1.94,959,1,1180000,"[100,88,88,100,100,100,88,72,58,88,88,100]",1560975432
shower tub,6,6,8100,77.51,1.04,https://bestbath.com/products/tubs/shower-tub-combos/,405,1.9,421,1,369000000,"[82,82,55,67,67,67,67,67,67,100,82,82]",1562805487
bathtub shower combo,5,5,8100,85.4,0.81,https://bestbath.com/products/tubs/shower-tub-combos/,405,1.9,328,1,72500000,"[100,82,82,82,82,82,67,67,67,100,82,100]",1562804244
barrier free shower pan,1,1,590,72.25,3.77,https://bestbath.com/products/showers/barrier-free/,277,1.3,1045,1,3720000,"[67,54,67,82,82,82,67,82,67,100,82,82]",1560984739
bathtub surround,7,7,6600,84.19,1.19,https://bestbath.com/products/tub-surrounds/,264,1.24,314,1,41800000,"[81,67,54,67,67,67,67,67,67,100,100,100]",1562799078
ada shower,2,2,1900,65.05,3.31,https://bestbath.com/products/showers/,247,1.16,817,1,69700000,"[100,100,67,79,79,79,79,100,67,100,79,100]",1560960321
water stopper,1,1,480,66.79,0.8,https://bestbath.com/water-stopper/,225,1.05,180,1,86600000,"[81,100,81,81,81,81,81,81,81,81,81,81]",1560994127
handicap accessible shower,1,1,480,68.67,2.8,https://bestbath.com/products/showers/,225,1.05,631,1,337000000,"[81,81,81,81,81,81,54,66,66,81,81,100]",1560992656
shower pan sizes,3,3,2400,75.74,0.88,https://bestbath.com/products/showers/pans/,216,1.01,190,1,64600000,"[55,36,30,36,43,36,43,55,55,100,82,100]",1560960990
best bath systems,1,1,260,60.56,3.53,https://bestbath.com/,208,0.97,734,1,300000000,"[81,66,81,81,100,81,81,66,66,66,66,66]",1561024880
54x30 shower base,1,1,390,73.16,1.23,https://bestbath.com/product/curbed-54x30-shower-pan-curbed-threshold-5-75-curb-height-2/,183,0.86,225,1,73,"[66,66,54,44,66,54,66,54,66,66,81,100]",1561005050
ada shower,3,3,1900,65.05,3.31,https://bestbath.com/,171,0.8,566,1,69700000,"[100,100,67,79,79,79,79,100,67,100,79,100]",1560960321
accessible shower,1,1,320,64.82,2.86,https://bestbath.com/products/showers/,150,0.7,430,1,402000000,"[81,81,67,67,67,54,54,67,67,81,81,100]",1561013074
